dates,shore,Hs,Tp,Dir,Eng,,,real_dates
11/01/2012,386.010815,1.344423,16.167826,240.40634,14.319227,,,
12/01/2012,386.0029437,1.5401249,9.352442,238.30719,10.87008621,,,
13/01/2012,385.9956269,2.075584,2.390616,238.98628,5.046456456,,,
14/01/2012,385.9888829,2.1853678,10.667462,237.4322,24.96354533,,,
15/01/2012,385.9827299,1.90308,12.02506,234.20926,21.34014777,,,
16/01/2012,385.9771862,2.0039856,13.410818,234.56255,26.39006997,,,
17/01/2012,385.9722699,1.8607893,13.592487,234.53368,23.06159848,,,
18/01/2012,385.9679991,1.5405067,11.735326,234.1529,13.6464102,,,
19/01/2012,385.9643916,1.1320151,12.305533,232.16785,7.726822742,,,
20/01/2012,385.9614652,1.1389841,11.449983,232.23727,7.278405452,,,
21/01/2012,385.9592376,1.4175488,13.074116,232.50809,12.87313878,,,
22/01/2012,385.9577259,1.7383087,4.678608,235.56538,6.927340685,,,
23/01/2012,385.9569474,1.9953939,8.693548,232.88132,16.96095949,,,
24/01/2012,385.9569188,1.8656579,3.388122,234.33023,5.77855356,,,
25/01/2012,385.9576563,1.7099557,12.485006,234.44295,17.88770211,,,
26/01/2012,385.9591759,1.7355402,9.710338,235.99292,14.33176843,,,
27/01/2012,385.9614932,2.2544837,1.6756841,236.80948,4.173327126,,,
28/01/2012,385.964623,2.2286131,7.558669,236.22386,18.3954648,,,
29/01/2012,385.9685797,2.1383994,9.484087,233.79135,21.25050509,,,
30/01/2012,385.973377,2.1896636,11.057911,235.68842,25.97909201,,,
31/01/2012,385.9790278,1.8046563,13.077076,235.69804,20.86871614,,,
1/02/2012,385.9855442,1.1813701,10.7546215,238.11061,7.354669477,,,
2/02/2012,385.9929377,1.2507727,13.067052,238.7739,10.01683423,,,
3/02/2012,386.0012186,1.2650924,13.340939,230.89764,10.46229525,,,
4/02/2012,386.0103961,1.0724454,11.931218,231.17326,6.724054773,,,
5/02/2012,386.0204785,1.1392704,13.45034,235.47534,8.554270327,,,
6/02/2012,386.0314728,1.1758332,14.447179,235.7166,9.787472857,,,
7/02/2012,386.0433847,1.1168363,12.056181,237.18271,7.368598304,,,
8/02/2012,386.0562187,0.9540698,13.320891,237.1724,5.941411775,,,
9/02/2012,386.0699775,0.98815054,11.242538,236.40118,5.379063471,,,
10/02/2012,386.0846624,1.0479112,12.194604,235.0492,6.561645237,,,
11/02/2012,386.1002731,1.231489,8.247539,233.44493,6.128885837,,,
12/02/2012,386.1168074,1.161609,10.540781,235.37086,6.96929434,,,
13/02/2012,386.1342611,1.2051407,10.24761,236.37025,7.292797863,,,
14/02/2012,386.1526281,1.1996038,9.092112,235.95168,6.411158628,,,
15/02/2012,386.1719001,1.2710111,9.521605,234.27249,7.537111286,,,
16/02/2012,386.1920666,1.6180236,15.670553,234.34673,20.10250164,,,
17/02/2012,386.2131147,1.4783595,13.9209795,234.81274,14.90822665,,,
18/02/2012,386.2350289,1.4111526,14.775671,235.35986,14.41754292,,,
19/02/2012,386.257791,1.2216561,12.794693,234.27936,9.356725431,,,
20/02/2012,386.2813802,1.225761,12.852066,231.55887,9.461949499,,,
