dates,shore,Hs,Tp,Dir,Eng,,,real_dates
5/03/2020,386.7694729,1.615923405,10.52254677,62.78118896,13.46351589,,,
6/03/2020,386.7277352,1.655732036,10.91538239,62.66227722,14.66274014,,,
7/03/2020,386.6816333,1.344995856,10.75070763,65.45220184,9.529607725,,,
8/03/2020,386.6312389,0.979940653,10.5106144,63.46028519,4.945654036,,,
9/03/2020,386.5766232,0.988054991,10.48913479,57.29963303,5.017622436,,,
10/03/2020,386.5178569,0.830443621,11.22554588,46.98949051,3.793358214,,,
11/03/2020,386.4550102,0.752162874,11.18115616,42.95754242,3.099606616,,,
12/03/2020,386.3881529,0.898700476,10.88130188,45.05668259,4.306325785,,,
13/03/2020,386.3173542,1.119031906,10.44054413,51.11217117,6.406253975,,,
14/03/2020,386.2426828,1.153780937,9.945943832,53.39620972,6.487670744,,,
15/03/2020,386.1642069,1.104235053,9.501365662,61.26147461,5.676820617,,,
16/03/2020,386.0819942,1.107671857,11.69561195,54.39492416,7.031391402,,,
17/03/2020,385.9976145,2.1048913,12.55631733,31.87207985,27.25948892,,,
18/03/2020,385.9110887,1.140702248,11.49485207,40.09613419,7.328988851,,,
19/03/2020,385.8224372,0.701184988,12.82228279,45.82513428,3.089062177,,,
20/03/2020,385.7316804,0.591592014,13.76050472,41.47631454,2.359799197,,,
21/03/2020,385.6388384,0.503382981,13.74570656,39.80950928,1.706711853,,,
22/03/2020,385.543931,0.776697159,8.862136841,194.8527069,2.619617993,,,
23/03/2020,385.446978,1.309578657,6.858438969,357.2580261,5.763476616,,,
24/03/2020,385.3479987,0.532786012,10.3931942,16.93543625,1.445608689,,,
25/03/2020,385.2470124,0.525530756,15.41890907,8.281104088,2.086632666,,,
26/03/2020,385.1440381,0.584814072,13.76623249,9.802193642,2.306995821,,,
27/03/2020,385.0390945,0.630541384,12.31517601,15.69890594,2.399185869,,,
28/03/2020,384.9322003,0.653643727,10.9859314,43.58370972,2.299932861,,,
29/03/2020,384.8233737,0.779465616,10.49008942,60.39060974,3.122979938,,,
30/03/2020,384.7126328,0.90481019,10.48149872,60.42429352,4.204694354,,,
31/03/2020,384.5999957,1.017267108,12.6234293,56.4177742,6.40093529,,,
1/04/2020,384.4854799,1.13048768,14.81013393,55.42250061,9.274419457,,,
2/04/2020,384.3691029,0.965334535,12.95153999,54.88018799,5.913889118,,,
